OsID,OsGene
LOC_Os10g35180,OsABCG26 
LOC_Os07g33780,OsABCG43|PDR5 
LOC_Os01g64730,OsABF1|OsABI5|OREB1|OsbZIP10 
LOC_Os01g40094,OsABI2|OsPP2C06|OsABIL1 
LOC_Os05g28350,OsABI4 
LOC_Os05g51510,OsABIL2 
LOC_Os05g46040,OsABIL3 
LOC_Os06g33520,OsABP 
LOC_Os06g02490,OsACBP2 
LOC_Os03g37960,OsACBP3 
LOC_Os04g58550,OsACBP4 
LOC_Os03g14000,OsACBP5 
LOC_Os03g61930,OsACBP6 
LOC_Os09g27820,OsACO1 
LOC_Os09g27750,OsACO2 
LOC_Os02g53180,OsACO3 
LOC_Os11g08380,OsACO4 
LOC_Os05g05680,OsACO5|OsACO6 
LOC_Os01g39860,OsACO7 
LOC_Os04g24530,OsACOS12 
LOC_Os01g52230,OsACP1 
LOC_Os10g39860,OsACR2.1 
LOC_Os03g01770,OsACR2.2 
LOC_Os03g14370,OsACR9 
LOC_Os03g04120,OsACS 
LOC_Os03g51740,OsACS1 
LOC_Os04g48850,OsACS2 
LOC_Os05g10780,OsACS3 
LOC_Os05g25490,OsACS4 
LOC_Os01g09700,OS-ACS5|OsACS5 
LOC_Os06g03990,OsACS6|SSG6 
LOC_Os03g50885,OsACT1|OsActin-1 
LOC_Os10g36650,OsAct2|OsActin-2 
LOC_Os11g06390,OsACTIN2 
LOC_Os06g01390,OsACX1 
LOC_Os11g39220,OsACX2 
LOC_Os06g24704,OsACX3 
LOC_Os06g04070,OsADC1 
LOC_Os10g03660,OsADF 
LOC_Os03g60580,OsADF3 
LOC_Os11g10510,OsADH 
LOC_Os04g32460,OsAFB2 
LOC_Os02g10480,OsAGAP 
LOC_Os03g18810,OsAGD2 
LOC_Os02g45070,OsAGO1a 
LOC_Os04g47870,OsAGO1b 
LOC_Os02g58490,OsAGO1c 
LOC_Os06g51310,OsAGO1d 
LOC_Os03g33650,OsAGO7|shl4|SHO2 
LOC_Os03g42110,OsAGPR 
LOC_Os05g25840,OsAGSW1 
LOC_Os08g02490,OsAHL1|AHL1 
LOC_Os09g31470,OsAHL2|AHL2 
LOC_Os01g03510,OsAIP1 
LOC_Os01g36890,OsAIP1|OsBAT1 
LOC_Os01g36920,OsAIP2 
LOC_Os05g41795,OsAIR1 
LOC_Os08g38710,OsAkaGal|Osh69 
LOC_Os01g62860,OsAKR1|OsI_04426 
LOC_Os01g45990,OsAKT1 
LOC_Os05g35410,OsAKT2 
LOC_Os03g31150,OsAL1 
LOC_Os07g42600,OsAlaAT2 
LOC_Os03g09910,OsALD1 
LOC_Os02g43194,OS-ALDH 
LOC_Os07g48920,OsALDH22 
LOC_Os06g15990,OsALDH2B1|ALDH2b 
LOC_Os09g26880,OsALDH7|OsALDH7B6|ALDH7B7 
LOC_Os06g40640,OsAld-Y 
LOC_Os02g30630,OsALS 
LOC_Os03g54790,OsALS1 
LOC_Os01g09760,OsALYL1 
LOC_Os03g44760,OsAM1 
LOC_Os04g43070,OsAMT1;1|OsAMT1.1 
LOC_Os02g40730,OsAMT1;2|OsAMT1.2 
LOC_Os02g40710,OsAMT1;3|OsAMT1.3 
LOC_Os05g39240,OsAMT2;1 
LOC_Os01g61550,OsAMT2;3 
LOC_Os02g51750,OsANN1 
LOC_Os01g27490,OsAns 
LOC_Os03g32314,OsAOC 
LOC_Os03g55800,OsAOS1 
LOC_Os03g12500,OsAOS2 
LOC_Os02g12680,OsAOS3|OsHPL2 
LOC_Os02g12690,OsAOS4|OsHPL1 
LOC_Os04g51160,OsAOX1b 
LOC_Os02g47200,OsAOX1c|AOX1c 
LOC_Os05g04630,OsAP1 
LOC_Os02g27360,OsAP19 
LOC_Os04g52090,OsAP2-39 
LOC_Os03g08790,OsAP25 
LOC_Os04g37570,OsAP37 
LOC_Os07g40260,OsAP65 
LOC_Os10g39260,OsAP77 
LOC_Os03g13370,OsAPC6 
LOC_Os02g20930,OsAPI5 
LOC_Os03g52460,OsAPL1|OsAGPL3|OsAGPL1 
